1,1,Ninja Clash in the Land of Snow,2004-08-21,Tensai Okamura,83,6.7
1,2,Legend of the Stone of Gelel,2005-06-08,Hirotsugu Kawasaki,97,6.6
1,3,Guardians of the Crescent Moon Kingdom,2006-05-08,Toshiyuki Tsuru,95,6.5
6,4,Naruto Shippuden: The Movie,2007-04-08,Hajime Kamegaki,95,6.9
6,5,Bonds,2008-02-08,Hajime Kamegaki,93,7.1
6,6,The Will Of Fire,2009-01-08,Masahiko Murata,96,7.2
6,7,The Lost Tower,2010-07-31,Masahiko Murata,85,7.1
6,8,Blood Prison,2011-07-21,Masahiko Murata,103,7.3
6,9,Road to Ninja,2012-07-28,Hayato Date,109,7.7
6,10,The Last,2014-06-12,Tsuneo Kobayashi,112,7.6
5,11,Mugen Train,2021-04-23,Koyoharu Gotouge,117,8.2
